review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,label_agreement_level,predicted_sentiment
Singapore Changi,airport,A Dobbins,2024-12-16,My husband and I are transferring today to the USA We got off our plane from Bangkok and wanted to see the waterfall in the airport A wonderful kind and very helpful Changi Service Ambassador Tan Mey showed us the way to see the waterfall The train TT takes you past the waterfall You can see it after am,10.0,Positive,Positive,Positive,Positive,Positive,,4/4,Neutral
Singapore Changi,airport,A Dobbins,2024-12-16,My husband and I are transferring today to the USA We got off our plane from Bangkok and wanted to see the waterfall in the airport A wonderful kind and very helpful Changi Service Ambassador Tan Mey showed us the way to see the waterfall The train TT takes you past the waterfall You can see it after am,10.0,Positive,Positive,Positive,Positive,Positive,,4/4,Neutral
Abu Dhabi,airport,4 reviewsNash Degaonkar,2024-12-13,The Airport is pretty decent in a lot of aspects The duty free is vast the airport staff and security are ultra professional helped me guide through the terminal on where to find my gate However the WiFi experience could have been better because doing facetime calls was a problem considering whatsapp is not allowed Anyhow it is massive,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Aguascalientes,airport,2 reviewsHoward Atkins,2016-10-20,This is a small airport but over the past couple of years it has improved a lot The customs and immigration are polite and fast with the baggage also coming fast There is a coffee shop outside the secure area and also one inside but the coffee outside is better There is also now free WiFi in the airport There is a lounge but this is not connected to the airlines but for payment No need to arrive to early,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Albany,airport,Andrew Champagne,2012-05-16,I fly into and out of Albany a few times a year on business For my money its one of the most efficient airports in terms of securityTSA in the country They get you in out and on your way with very little hassle the way it should be The airport itself isnt huge and doesnt have some of the amenities of a larger hub but as a traveller Im looking for efficiency and thats what Albany Airport provides,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Alicante,airport,Janet Westgarth,2024-09-09,I was travelling with sight impaired friends Assistance was prebooked with Easyjet I cannot praise the staff highly enough We arrived late at night and we were wheeled very efficiently and cheerfully The staff cared for us very well and made sure we got safely to our taxi,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Alicante,airport,Vera McMullan,2022-08-05,I want to commend staff at Alicante airport on what was my first airport visit post covid Arriving and departing was prompt and hassle free When I accidentally broke a mug at the Starbucks counter the staff were just concerned about how I was feeling Also the girl at the EasyJet gate took my postcards which I had forgotten to post and promised to post them for me They all arrived eventually so thank you,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Alice Springs,airport,Paul Harvey,2009-09-23,A typical small Australian airport which operated well Some distance out of the city it is served by a bus and taxis fare Check in was easy there being more than enough desks for the traffic Security was efficient with a bookshop and cafe airside All gates are walk to the plane which are never far away Compared to many this is a nice airport,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Almeria,airport,Susan Davis,2007-07-18,I found the airport to be more than adequate We were there in July and it was busy but check in was OK as was security The waiting area is small and there are not enough catering facilities but the roof top terrace was brilliant it was a pleasure to wait for the plane for once and you can have a cigarette in peace The toilets were clean and tidy wastebins emptied frequently so all in all not a bad airport have certainly spent time in much worse,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Antwerp Deurne,airport,C Wajsberg,2012-10-27,Very small airport with not many destinations to fly to from Free parking in front of airport very fast check in One restaurant coffee shop with nice local food Arriving at Antwerp airport it will take you around to after disembarking until you receive your suitcase and are in a taxi home,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Arkhangelsk,airport,Y Kiselev,2010-10-03,Used this airport on numerous occasions over the last years Over the last year both domestic and international terminals underwent some renovation and rearrangement of facilities in my opinion for the better Of all facilitiesservices expectable from a midsize regional airport ARH lacks free WIFI coverage and cafes serving hot meals Overall it is a decently wellkept airport which may though benefit from further renovations and improvements,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bahrain,airport,A Zubairi,2023-02-02,Really beautiful airport after the renovations All major fast food places available apart from local cuisine Wifi is free and fast regardless of duration of the connection which is a huge plus Coffee shop was slightly expensive but the food and coffee were fine nonetheless The announcements are a big plus since most airports in the region are switching to quite airports,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Beirut,airport,18 reviewsGyan Fernando,2020-01-25,A nice airport and frankly I am surprised at the bad reviews I arrived there at approx hrs Entry and checkin were very easy Security was straight forward and immigration was very easy Once on the airside a restaurant was open as were the dutyfree shops The only downside were the grumpy staff of the shops who obviously had not woken up yet Announcements were clear and boarding was orderly and we took off on time,9.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Belo Horizonte Confins,airport,A Hetier,2009-12-07,I concur with the comment below Confins is underused But there is a big plus Conexao Aeroporto buses that take you to the city centre are punctual and efficient Things have changed since and there should be more improvements in the future,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Berlin Tegel,airport,J Meeson,2020-11-01,Im autistic and was nonverbal unable to speak when I went through security but the staff were incredibly kind and helpful It was very much appreciated as its obviously very difficult to navigate the world when one cannot speak and the staff were completely understanding Be proud,10.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Berlin Tempelhof,airport,Lisa Sanders,2008-06-06,Templehof is a dream The architecture is beautiful and the departure hall is stunning Some of the original features can be found a true jewel It oozes nostalgia and would be a tragedy to lose such a wonderful piece of history The most civilised journey Ive embarked on to date was Templehof to Brussels,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bohol-Panglao,airport,13 reviewsAndreas Becker,2022-05-28,Quiet new airport opened in Check in was efficient Distance to Alona Beach only a few minutes Therefore very comfortable for people staying at the beach There are only few food stalls available Overall a fast and efficient airport,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Bremen,airport,Eric Decamps,2015-09-06,Nothing special to write it looks more like a train station than an airport but its a small city anyway so thats fair Access from the city center by tram makes it the easiest cheapest and fastest airport to reach Ive seen in my life Fans of space will love the huge International Space Station model in the main hall and aviation fans will love the souvenir shop where you can buy many Airbus collectors items One thing they should put more power sockets,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Brussels Zaventem,airport,8 reviewsNorman Mackenzie,2024-12-09,I have to say I was quite impressed with this place The two terminals are easy to navigate and there is plenty of space Plenty of retail if such is your thing an I enjoyed my Stella as I waited for my next leg One thing I really liked is the ability to get WhatsApp updates for your flight schedule checkin gate departure gate etc I hadnt seen this before Surprised that all the announcements are in English,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
