review_name,review_type,passenger_name,review_date,review_text,VADER_Sentiment,TextBlob_Sentiment
Aalborg,airport,3 reviewsThomas Rune Knudsen,2023-09-16,"This airport is always a breeze. Small and compact but with ok facilities considering the size. Staff is (almost) always friendly and down-to-earth. Few if any lines. Clean, and good Wi-Fi. They might need security in the baggage reclaim as two toddlers got on the belt just as it started moving. Seemed very dangerous, and the parents were present but completely oblivious. Never seen such bad parenting at an airport before. The family was Danish. Parking is no longer free, but 20 DKK per day. A very silly move.",Positive,Negative
Aalborg,airport,4 reviewsAnnika Fredenstrand,2017-03-19,"The baggage claim areas have obviously been merged to one since I last flew into Aalborg Airport with luggage. When coming to the only baggage claim area in the airport, in the end of the airport, where only airlines like Norwegian used to deliver luggage, there were no signs what so ever of our SK1207 luggage arriving - and thus I stepped out of the baggage claim area - not able to reenter - and with a tiresome wait for some 30 minutes until the airport staff had located my luggage. Better signs and maybe announcements - would do a big difference!",Positive,Negative
Aarhus,airport,Don Shone,2017-03-03,"This place is a dump. Miserable place with very few facilities, they rip you off with the car parking, and rip you off with the food and drink (coffee costs at least 29 kr). Duty free is small with few items and is expensive. Aalborg airport is 10 times better.",Positive,Negative
Abbotsford Intl,airport,D Mitchell,2022-05-08,I am mobility challenged and was told I would be a priority boarding. When priority boarding was announced all passengers lined up and were put through and boarded regardless so those of us that needed the extra time were greatly inconvenienced. I was also told it was a very short walk but I had to stop and catch my breath 3 times. I would not fly swoop again.,Negative,Positive
Abbotsford Intl,airport,Bryan Wang,2019-10-08,"Since most flights to and from YXX are ULCC's, my expectations are low. Lack of flight info signs. Queuing times are non-existent. Clean terminal with easy seating. Lack of shops and food inside the secure area. Wi-Fi is poor.",Negative,Positive
Aberdeen,airport,Raneide Wilkins,2024-01-13,"My review of Aberdeen Airport is regarding the lack of options when it comes to travel. Not many options and not many airlines offering any destination from Aberdeen, This airport has been upgraded and I still don't see why, if no extra destinations have been added for travelers. Aberdeen has become one of the poorest Scotland destinations on so many levels. I am local and used to travel loads but not anymore as the flight option has declined over the years. Another big problem in Aberdeen and Aberdeen airport is the lack of taxis and the extortionate car parking charges.",Negative,Neutral
Aberdeen,airport,Daniel Omnes,2023-07-01,"I am writing after some weeks and with reflection of this incident. I am 82 years old and I was travelling alone to Amsterdam. At security I found myself vulnerable due to some rude behaviour from security staff. I complied with what was asked as there is zero tolerance however what I would ask is some consideration on 'courtesy and politeness' to local and international travellers at the same time which is the basics in behaviour. I have travelled widely, and this is the standard in all airports but why not in Aberdeen? There are some good people but the 2 staff members from security have tarnished the image for the whole team and department in Aberdeen, which is unfair.",Positive,Negative
Aberdeen,airport,G Protano,2020-07-12,"The airport is clean and easy to go, the price for the drop off is high as 3 GBP. And the security staff need to be educated to dealing with passenger. Some are friendly but some are very rude and abusive. They think to have all the power of the police.",Negative,Positive
Abidjan,airport,8 reviewsH Blumenthal,2021-07-27,"When first opened some years ago, it was possibly the best airport in Africa but no more! It is even a true mess. Difficult to find one's way, overcrowded and not very clean anymore. The worse was the boarding of my Air Cote d'Ivoire flight: we had to go down on the tarmac and then walk several hundred yards on very uneven ground, in the middle of service vehicles and planes, with no escort, no security. It is well possible it was the airline's fault (sadly not listed on Skytrax) as Air Cote d'Ivoire's service is absolutely non existent, even for business class passengers.",Negative,Positive
Abidjan,airport,Anoma Yao,2014-06-30,Small airport but modern and clean facility. No hustlers in the terminal unlike in most African airports. Not much queuing at check-in immigration and security. Air-conditioning functions toilets are clean airbridges and no pax busses but poor amenities: no wifi tiny duty free zone and unattractive lounge.,Negative,Positive
Abu Dhabi,airport,Elizabeth Abraham,2025-01-23,This is a very modern airport but they have not thought through all details. There is no place for a non premium tired traveler to stretch their legs and relax. Many of the other supports I've been at have a reclining chair with possibility to stretch legs. Not all of us can afford the lounge or the on sure hotel. 130 usd for 4 hours! Also there are not enough phone and computer charging capabilities in this modern airport. Very disappointed.,Negative,Positive
