review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,label_agreement_level,predicted_emotion
Langkawi,airport,12 reviewsPrayash Giria,2016-01-07,Small functional airport which is a bit drab for a holiday destination like Langkawi Clean but a bit rusty A decent common hall with shopping and eating before check in after baggage claim but next to nothing to do on the airside Still more pleasant than KLIA or Subang,4.0,Positive,Positive,Positive,Positive,Positive,,4/4,Neutral
Langkawi,airport,12 reviewsPrayash Giria,2016-01-07,Small functional airport which is a bit drab for a holiday destination like Langkawi Clean but a bit rusty A decent common hall with shopping and eating before check in after baggage claim but next to nothing to do on the airside Still more pleasant than KLIA or Subang,4.0,Positive,Positive,Positive,Positive,Positive,,4/4,Neutral
Abu Dhabi,airport,4 reviewsNash Degaonkar,2024-12-13,The Airport is pretty decent in a lot of aspects The duty free is vast the airport staff and security are ultra professional helped me guide through the terminal on where to find my gate However the WiFi experience could have been better because doing facetime calls was a problem considering whatsapp is not allowed Anyhow it is massive,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Aguascalientes,airport,2 reviewsHoward Atkins,2016-10-20,This is a small airport but over the past couple of years it has improved a lot The customs and immigration are polite and fast with the baggage also coming fast There is a coffee shop outside the secure area and also one inside but the coffee outside is better There is also now free WiFi in the airport There is a lounge but this is not connected to the airlines but for payment No need to arrive to early,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Albany,airport,Andrew Champagne,2012-05-16,I fly into and out of Albany a few times a year on business For my money its one of the most efficient airports in terms of securityTSA in the country They get you in out and on your way with very little hassle the way it should be The airport itself isnt huge and doesnt have some of the amenities of a larger hub but as a traveller Im looking for efficiency and thats what Albany Airport provides,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Albany,airport,I Abodunrin,2009-08-09,Its a relatively small airport I agree with the earlier post about its speediness One of my friends once arrive less than half an hour before his flight departed and was still able to fly out though I wouldnt recommend trying this Overall a very good airport,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Alicante,airport,Janet Westgarth,2024-09-09,I was travelling with sight impaired friends Assistance was prebooked with Easyjet I cannot praise the staff highly enough We arrived late at night and we were wheeled very efficiently and cheerfully The staff cared for us very well and made sure we got safely to our taxi,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Alicante,airport,Vera McMullan,2022-08-05,I want to commend staff at Alicante airport on what was my first airport visit post covid Arriving and departing was prompt and hassle free When I accidentally broke a mug at the Starbucks counter the staff were just concerned about how I was feeling Also the girl at the EasyJet gate took my postcards which I had forgotten to post and promised to post them for me They all arrived eventually so thank you,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Almeria,airport,Mike Saunders,2018-10-09,First time to this airport When we arrived it was such a pleasant surprise to see how small it was The time from landing to being on the transfer bus was minutes The cases were already waiting after passport control On the return visit it was much busier as several flights were taking off in a short period However they dealt with the people quickly with no issues at all I wish all airports were like this one,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Ancona,airport,3 reviewsBen Apsley,2015-12-17,Being a frequent traveler to Ancona Airport I have expectations that are met every time Since this airport is so tiny checkin and security are a breeze The single terminal is fairly clean and peaceful The Italian shops have what you expect The only problem I have with this airport is that you cant get coffee in the terminal This isnt much of a problem though because you can simply get it outside There isnt anything wrong with this airport but its not extraordinary It is very relaxed and is a good airport,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
Antwerp Deurne,airport,C Wajsberg,2012-10-27,Very small airport with not many destinations to fly to from Free parking in front of airport very fast check in One restaurant coffee shop with nice local food Arriving at Antwerp airport it will take you around to after disembarking until you receive your suitcase and are in a taxi home,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Arkhangelsk,airport,Y Kiselev,2010-10-03,Used this airport on numerous occasions over the last years Over the last year both domestic and international terminals underwent some renovation and rearrangement of facilities in my opinion for the better Of all facilitiesservices expectable from a midsize regional airport ARH lacks free WIFI coverage and cafes serving hot meals Overall it is a decently wellkept airport which may though benefit from further renovations and improvements,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Barnaul,airport,David Pryer,2008-12-10,The terminal is Sovietstyle and a little big for just or flights a day to Moscow and the occasional charter Checkin was slow with initially only one desk open but the service was friendly and efficient when eventually obtained With a blizzard on the tarmac it was unsafe for the bus to drive out to the plane Stumbling across the whipped up snow and ice is not something for the fainthearted The early offer of an onboard drink was appreciated,3.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Belfast City,airport,Sandro Magliocco,2024-01-12,A small airport with all the benefits of that short distances quick security not too crowded Its also quite quick to get into the city Limited flights compared to Belfast International or Dublin but when I have the option Id choose this over the others The business lounge is also very well maintained and spacious plus good food and drink options,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bellingham,airport,J Pitalo,2020-01-01,Thank you for your kind service My elderly parents flew out and the patience and attention to their comfort was impressive and appreciative They contacted me upon their arrival and both were very calm and satisfied They have been worried about flying days coming into it All that went away at the airport in Bellingham They were greeted upon their arrival at their destination with the necessary extra services Thank you so much,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Belo Horizonte Confins,airport,A Hetier,2009-12-07,I concur with the comment below Confins is underused But there is a big plus Conexao Aeroporto buses that take you to the city centre are punctual and efficient Things have changed since and there should be more improvements in the future,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bergerac,airport,R Vines,2017-05-06,Its a small airport with the most basic of facilities but there were no delays in either direction I hope that means they have sorted out immigraton though it may be that my BA flight from London City arrived at a quiet time My only gripe is about one woman on security who was quite unfriendly when she told me I had to return to checkin because she didnt like the look of a vase I had in my carryon bag Otherwise the staff seemed quite friendly,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Berlin Tegel,airport,J Meeson,2020-11-01,Im autistic and was nonverbal unable to speak when I went through security but the staff were incredibly kind and helpful It was very much appreciated as its obviously very difficult to navigate the world when one cannot speak and the staff were completely understanding Be proud,10.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Berlin Tempelhof,airport,Lisa Sanders,2008-06-06,Templehof is a dream The architecture is beautiful and the departure hall is stunning Some of the original features can be found a true jewel It oozes nostalgia and would be a tragedy to lose such a wonderful piece of history The most civilised journey Ive embarked on to date was Templehof to Brussels,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Biarritz,airport,R Vines,2024-11-19,I was pleasantly surprised by Biarritz a small airport where everything seemed to work fine I was particularly impressed by the fact that the immigration officers on arrival and departure were smiling and courteous I wasnt expecting to see the negative reviews below but they are not too recent so maybe things have improved,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bilbao,airport,Annette Thomas,2017-09-01,Because of the items in the news about delays and queues we were quite worried about going to Bilbao airport We did have to wait a few minutes at passport control but not too long The airport is a new building very light and modern we didnt have to use any steps at all which was brilliant On our return journey we purchased food and drinks in the cafe they were nicely prepared and the area was very clean and tidy All in all a very good experience and the area can be proud of the facilities,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bloemfontein,airport,Abraham Faure,2007-09-19,Bloemfontein airport is currently undergoing improvements to its buildings and facilities This is with a view to the FIFA Soccer World Cup to be held in South Africa I love this little airport because there is an air of excitement and a bustle of activity While the upstairs cafeteria is undergoing improvements there is a downstairs cafeteria where refreshments may be purchased The airport personnel are some of the friendliest i have ever met Their are ample parking and car rental facilities available,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bohol-Panglao,airport,15 reviewsT Pearce,2025-03-26,Busy regional airport with many flights to South Korea Manila and other Philippine airports Airbridges and some remote stands Opened in and relatively modern in terms of layout with level for departures and one for arrivals Speed of baggage retrieval very good and distances from arrival to the carpark opposite the airport very short Free WiFi available,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
