review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_classification
Lviv,airport,K Davis,2018-06-16,Spotlessly clean airport Fantastic cakes in departure Travelling to and from Kiev for Champions League final from Liverpool via Venice and Lviv Very smooth transit through Lviv Airport both ways Cakes were more memorable than the game unfortunately,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Air Koryo,airline,2 reviewsM Kitson,2017-06-27,Everything went smooth from Pyongyang to Beijing Checkin staff were friendly Seats were comfortable Inflight entertainment could have been better Food and drinks decent enough,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Zagreb,airport,13 reviewsS Xu,2022-05-18,Zagreb Airport is a small but clean airport The airport staff were generally friendly helpful and efficient Moderate queuing time Seating area was a bit crowded during busy hours and lacking charging sockets around seats Fast and free WiFi,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Volotea,airline,M Barton,2025-04-05,It was a really nice flight friendly people started on time and regular updates from the crew The airplane itself was very clean and entertainment on board was provided,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
S7 Siberia Airlines,airline,Mark Clement,2020-03-08,St Petersburg to Moscow Efficient check in Comfortable seats and a fairly decent snack sandwich Certainly good value for money and spot on with departurelanding times Would use again,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Kenya Airways,airline,E Karsibo,2025-03-10,Regional onboard service food and beverages LagosNairobi very good International onboard service food and beverages NairobiWashington good Onboard cleanliness satisfactory Nairobi lounge services good Airline customer support at Airport fair Kenya Airways App unreliable Online customer support very poor,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Puerto Vallarta,airport,P Breland,2022-12-10,This airport is passable if youre the passenger Have been through many times Problem is if you are waiting for someone to arrive No seats anywhere Pricy food choices super high taxi prices It is clean though,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
S7 Siberia Airlines,airline,Mark Clement,2020-03-08,St Petersburg to Moscow Efficient check in Comfortable seats and a fairly decent snack sandwich Certainly good value for money and spot on with departurelanding times Would use again,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Skopje,airport,2 reviewsJohn Bennett,2015-09-26,A smallish airport with limited facilities but clean and comfortable,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Dubai,airport,Yu-Hsiu Chang,2025-03-15,It is clean modern spacious and well designed The efficiency of security is high The WiFi connection is good Employees are helpful and polite,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Kiev Zhulyany,airport,Linke Klaus-Dieter,2013-06-10,Since Zhulyany Airport had opened the new Terminal I have flown times from there Everything was nice clean and efficient and friendly service I really can recommend this airport to be used for a visit in Kiev,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Beijing Capital Airlines,airline,Yu PengCheng,2024-03-25,Flight attendants hospitality service careful consideration I hope the WiFi on airplanes will be better in the future Cabin clean and tidy It was an unforgettable journey,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Hamilton,airport,SJ Edmonton,2017-08-11,Super small airport and wonderful if you are meeting someone from Hamilton Car rentals from site were out of cars and were no help Cost bucks to take cab from airport to in town car rental agency Tim Hortons only outlet in airport on arrival side or vending machines Flying with Flair and can only get tickets printed and drop off suitcases two hours before flight What we thought we were saving to get to a Blue Jays game in Toronto cost us more by flying to this back wood airport than what it would have been to fly WestJet to Toronto Never again will stick with West Jet friendly and helpful and reliable And the Blue Jays lost which made the trip even more horrible,2.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Bluebird Airways,airline,Rachel Franklin,2024-12-31,On the way to Prague Bluebird chartered out to an AKL aeroplane which was cramped and the service terrible But on return on an actual Bluebird plane the flight was wonderful Clean roomy seats excellent service from the staff It was the same as flying a nondiscount airline but without the food The captain even came over a few times to announce places of interest we were flying over the staff were lovely and it was a great flight overall,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Xiamen Airlines,airline,Yu-Hsiu Chang,2024-03-18,The cabin is clean Flight attendants are friendly and polite Seats can be reclined easily The food is delicious and fresh Flights departed on time,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nouvelair,airline,S Pulev,2023-06-26,It was the smoothest landing ever and an enjoyable flight overall The crew was very polite and the departure and the arrival were on time in a minute,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Iran Aseman Airlines,airline,M Kleine,2014-04-06,An old Fokker departure and arrival on time very smooth landing proficient bilingual staff and excellent food omelette with herbs coleslaw and chicken,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Copenhagen,airport,Yu-Hsiu Chang,2023-10-28,It is easily accessible from the city center by metro within minutes It is clean and modern Employees are friendly and helpful Signposts are clear Goods are bountiful,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Montevideo,airport,Juan Hernandez,2019-06-12,Very good Clean minimalistic and very nice Its quite a small airport so its impossible to get lost very well constructed and new The only drawback is the duty free very little choice and what there is is expensive,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Athens,airport,Yu-Hsiu Chang,2024-04-15,The efficiency of checkin and security checks is high Employees are helpful and polite Signposts are clear The WiFi connection is stable The ambience is clean,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
La Guardia,airport,2 reviewsN Vail,2022-08-25,The new Delta Terminal C is elegant convenient and modern Restaurants gate areas and restrooms were all immaculate Checkin went smoothly Keep it up,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Xiamen Airlines,airline,Yu-Hsiu Chang,2024-03-18,The cabin is clean Flight attendants are friendly and polite Seats can be reclined easily The food is delicious and fresh Flights departed on time,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Colorado Springs,airport,J Khosla,2009-04-27,I highly recommend traveling out of COS if you live in Pueblo Colorado Springs even Denver COS is a very cozy and convenient airport with easy parking checkin security and baggage claim Its main terminal has gates so it isnt at all huge but it is a very comfortable size In the past several years the planes flying into and out of COS have sadly gotten smaller think regional jets and the routes served are mostly to hub cities That said I would personally rather fly out of COS and connect than drive the extra hour and a half to DEN and fly nonstop because it is a lot less stressful The airport recently purchased new furniture for each gate area and it is a vast improvement They even have padded benchs in the center of the terminal that you can lie on and sleep before you fly This little extra is great because lets face it when people come from sea level to ft it is nice to lie down and adjust to the high altitude That said one downfall of COS is its lack of shops and restaurants though the variety isnt horrible The free WiFi throughout the terminal though helps compensate for this shortfall,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Bourgas,airport,Deborah Critchley,2019-08-06,I have to say I found the staff exceptionally helpful My dad requires special assistance and the staff were prompt understanding and efficient and could not do enough for him The airport is clean and obviously busy,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Trigana Air,airline,47 reviewsS Garner,2019-11-29,Jayapura to Tanahmerah Flight left and arrived on time Aircraft was clean and cool crew friendly and even a simple inflight meal of a box of tea and a cake was provided,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Quebec City,airport,11 reviewsRichard Leclerc,2018-09-17,The Aroport international de Qubec is a good example to follow concerning quality of service and infrastructure Its clean well designed and the staff are professional and customer oriented,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bangkok Suvarnabhumi,airport,6 reviewsFranck Janet,2025-03-16,The airport infrastructure is generally good and quite modern offering a clean and wellmaintained environment However one major drawback is the long walking distance between terminals and gates which can be tiring especially for elderly passengers or those with heavy luggage While the airport staff are polite and friendly they do not always demonstrate efficiency or resourcefulness when handling issues which can be frustrating for travellers in need of quick assistance Additionally one of the biggest concerns is the frequent long queues at immigration which can cause unnecessary delays particularly during peak hours This aspect of airport operations could be significantly improved by increasing the number of immigration officers implementing more automated systems or streamlining the process to enhance efficiency Overall while the airport offers a modern and comfortable environment there is still room for improvement in terms of staff efficiency and passenger flow management,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Uzbekistan Airways,airline,45 reviewsJ Lupu,2023-09-18,Checkin prolonged because their system was not updated concerning visa regulations Boarding efficient with bus transfer Cabin crew nice ladies with friendly approach Free drinks were served There was free wiif onboard Flight was on time Entertainment without headsets,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Algiers,airport,Mohamed Salah,2011-07-27,Good airport international terminal T is nice spacious clean The only problem I see is the fact that the interdiction of smoking is not always respected,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Myanmar National Airlines,airline,25 reviewsAlain Kupferman,2023-08-15,Short but pleasant flight on time Friendly crew cheap tickets clean plane and for a such a short flight a good snack was offered Boarding and deboarding fast,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Abidjan,airport,M Meiners,2005-05-14,I had to visit Abidjan this January There is no doubt the airport is more than a pleasant surprise One would expect the worst for any West African ariport in general and even more for this one keeping in mind that the country is fairly isolated and suffering from heavy civil unrest and at the edge of civil war keeping most western travellers and business away In fact the airport corresponds totally to European counterparts of the same size fairly small thus The terminal building is very new and has been totally rebuild in a quite recent past with all confort one can expect Aircondition normal sanitary facilities and yes all is clean and in good working condition On arrival jet aircrafts just dock at a direct tunnel connection to the building distances are quite short All controls are very smooth with absolutely no bribes to give to any official While standing in line for passport control a doctor passes trough the lines and checks vaccinations Yellow fever is compulsory every where there is security passport control is smooth and efficient although every one tries to be closest to the luggage belt this also goes quite smoothly including inspection of luggage No unauthorized people in the arrival area and nowhere unpleasant people insisting on helping you carrying your luggage and then trying to run away with it apparently some people do have a sort of authorization to enter customs area for helping passengers but not insisting Departure also is quite smooth Check in is done in an enclosed area with identity check at the entrance so here also one is safe after checking in there is just a short way up the stairs passing customs and then to the departure hall Here also with all normal facilities duty free shop large restaurant area some smaller shops and sanitary facilities still clean and in good working order Altogether thus a pleasant experience,0.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Uzbekistan Airways,airline,45 reviewsJ Lupu,2023-09-18,Checkin prolonged because their system was not updated concerning visa regulations Boarding efficient with bus transfer Cabin crew nice ladies with friendly approach Free drinks were served There was free wiif onboard Flight was on time Entertainment without headsets,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bangalore,airport,K Barzim,2024-11-16,Modern infrastructure and worldclass service Known for its efficiency cleanliness and design it has become one of the most impressive airports in India,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Dniproavia,airline,J Arnold,2011-11-05,Kiev to Odessa but they serve sandwiches and the whole range of beverages B clean Plenty of legroom Flight was ontime Its worth the money,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Faro,airport,William Sterry,2024-08-30,Awful airport On arrival was very smooth to be fair but the passport control queue was horrendous for those with UK passports and no accessibility and on departure despite wearing the sunflower lanyard and having booked fast track I was declined at fast track and made to queue for security and with my disabilities I struggle with long queuing The departure hall was very busy and hot with not many places to sit I had a great holiday in the Algarve but it was tarnished by the atrocity that is Faro Airport on a positive note however the toilets were very clean,1.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Atlantic Airways,airline,C Perkin,2011-08-23,Flew to Vagar Faroe Islands Smooth flight lasting hrs mins each way Flight attendants were friendly and efficient Seats comfortable and spacious adequate storage space for inflight luggage Free snacks served as well as alcoholic and nonalcoholic drinks,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Valladolid,airport,Karel Hladky,2008-07-25,A very tiny airport at km to Valladolid Only a little number of flights a restaurant and a drinks and snacks machine Clean safe and quiet,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Richmond,airport,Tim Buntin,2012-02-23,My experiences have always been pleasant Security lines are extremely short and there is a lot of open space Checking in is never a hasslewe have been able to pass by the checkin desk in minutes or less on the worst of days Bathrooms are clean and theres always a cafe or news store open Delta seems to have the largest concentration of flights at the airport most of them being on their regional affiliates running under Delta Connection Overall the airport is very good clean and friendly,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Bangalore,airport,K Barzim,2024-11-16,Modern infrastructure and worldclass service Known for its efficiency cleanliness and design it has become one of the most impressive airports in India,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
WOW air,airline,Jayshree Angepat,2019-03-30,I loved the flight and service the crew was very helpful and friendly Found the seats comfy and because of the low fares we booked make this trip to Iceland Thank you WOW airWe will miss you,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nile Air,airline,23 reviewsP Garlen,2019-02-12,Istanbul Sabiha Gokcen to Cairo and back A comfortable and cost effective alternative airline to use between Istanbul and Cairo Its quite an acceptable airline especially considering the price is about half of its main competitors prices The check in process seemed a bit slow at SAW the flight was a bit late to depart but arrived on time into Cairo Terminal On both flights the crew were friendly and helpful and the cabin interior of the former Air Arabia A was clean and tidy The meals served were nice with a selection of non alcoholic drinks available This airline arrives into and departs from Cairo Terminal which is an older smaller terminal that seems to have mainly flights to and from the Middle East During busy periods it was very crowded in the small terminal On the return flight the check in was again slow at Cairo Terminal Passport Control confusing make sure you check which queue to join as the Turkey flights have separate counters for passportimmigration Overall a good experience when taking into account the cost saving Down side is perhaps a bit more time spent waiting in the Cairo Terminal and flying into and out of the less popular airport in Istanbul,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Newquay,airport,P Davids,2018-06-09,Recently travelled with a broken ankle The staff were very helpful getting me on and off the plane The special waiting area was a nice touch because I was scared of getting knocked by other passengers,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Orient Thai Airlines,airline,Paul Burnell,2013-07-24,Flying from Chiang Mai to Bangkok regularly I find Orient Thai very punctual friendly and the best value available without question,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Incheon,airport,Yiwon Joo,2023-08-20,I can understand why Incheon airport is one of the best in the world The airport is very clean and peaceful There were various seating options and different shops I definitely recommend it,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Taipei Songshan,airport,Yu-Hsiu Chang,2024-03-19,It is located in the city center and easily accessible by buses and MRT The size is not big Signposts are clear Employees are friendly and helpful The ambience is clean,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Nice,airport,Judith Burnham,2024-06-22,Worst Airport in the world arrived to check in then security on baggage Then Passport machine thought great all good Walked through Duty Free then a mile long queue to get through to B gate BA is B gate Poor shops nobody could shop or eat unless you had got their hours early This queue apparently is normal and is called the new fast track what a joke One person in a box checking passports again Run to B hundreds of people standing there no way could you board in Groups just a free for all Again with one woman at the gate before you got on the coach to the plane still coaching you out to the plane She was checking everyones passport again Why havent they upgraded this system by now and built satellite gates off the main airport Not going back there,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Vilanculos,airport,Fergus Tait,2015-08-25,Expecting the worst but a great surprise It was a new building and super clean Great welcome by the airport staff and especially the Passport Control proud of their airport and their country and genuinely do their best to make it a painless process On departure the check in staff were efficient cheerful and helpful A very pleasant little cafe for snacks and once again through to more smiling passport control,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Jersey,airport,C Ranger,2019-09-22,Bar and restaurant staff appeared to be totally fed up and disinterested in their job Could do a lot better Rest of the airport was fine and very clean,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Guangzhou,airport,3 reviewsB Nowak,2019-11-13,Flying from LHR to BKK Went through additional security checkpoint smoothly No big queues New clean and pleasant terminal All information were given very clear Hope to have such terminals more often in Europe Glad to be here again,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
