review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,under_token_limit
Tripoli,airport,Jawad Hafid,2005-12-22,The airport is different from how I last saw it Its been renovated and finally reached an international standard Theres a lovely restaurant on the th floor called Oea I had a wonderful meal there Theres also a quaint but useful duty free section A first class lounge can also be found close to the Duty Free section Air conditioning and spacious areas throughout makes this airport impressive and comfortable,0.0,Positive,Positive,Positive,Positive,Positive,True
Melbourne Avalon,airport,Tim Costello,2012-10-13,Living in Geelong this airport is great mins from my parents place and traffic is rarely a problem Check in is quick quicker with no bags check in online the night before stroll through security and a short walk onto the plane Only criticism is that the airport is small gates and only bar cafe and newsagents Hopefully with the new International terminal theyre cleared to build theyll upgrade the domestic terminal too,9.0,Positive,Positive,Positive,Positive,Positive,True
Hi Fly,airline,1 reviewsM Parvuri,2019-01-17,Lisbon to Salvador Bahia Flight plastic free The first one I have travelled with And they had Ipads to comfortable watch what we preferred The distance between the chairs was large,9.0,Positive,Positive,Positive,Positive,Positive,True
FlyGabon,airline,6 reviewsMichael Powell,2025-02-18,Apart from the usual lateness which one comes to expect from some regional airlines this was an excellent flight The aircraft was practically brand new and the cabin crew were professional Between booking and the actual flights it had changed its name from Afrijet to FlyGabon,9.0,Positive,Positive,Positive,Positive,Positive,True
Korean Air,airline,Yin Cheung Chan,2025-03-17,I took KE from HKG to ICN in July As I have already known that it was a top airline I had high expectations on it The ground service was very good The seat was quite wide and the cabin crew were very polite The food was average but not many movies to watch Although it was delayed for two hours I think the whole experience is worth the price,9.0,Positive,Positive,Negative,POSITIVE,Positive,True
Hamad  Doha,airport,Mohamed Abbas,2025-02-19,I came from Bangkok to Doha and transited for hrs and then to my homeland Cairo I was frustrated to stay that long transit time but once i stayed there I enjoyed it so much The internet coverage and speed is awesome Perfect atmosphere perfect cleaning perfect toilets Unforgettable experience Thanks to each and everyone who participated at this huge well maintained entity,10.0,Positive,Positive,Positive,Positive,Positive,True
Asturias,airport,Martyn Davies,2006-03-15,Nice clean provincial airport handy for Asturias Cantabria and Galicia The checkin hall is spacious and on the occasions Ive used it it has always been hasslefree The cafe is large and reasonably priced and the toilets clean There are a half dozen care hire booths in the airport I always use the bus to get into and out of Oviedo It is cheap euros single and runs regularly from the stop outside the arrivals hall Regular buses also run to Gijon and Aviles There are plentiful taxis if you want a more expensive drive in The only mild criticism I have of the airport is the time it takes to get through customs on arrival Other than that a pleasant airport which nearly makes flying pleasurable,0.0,Positive,Positive,Positive,Positive,Positive,True
Edmonton,airport,24 reviewsA Haber,2019-12-23,Liked the airport of Edmonton Very efficient security and no big walking distances A nice bright design that make you feel comfortable Besides there are a lot of shopping and dining options here This Airport can be a role model how regional midsize airports should be,8.0,Positive,Positive,Positive,Positive,Positive,True
Fuzhou,airport,Ethan Lin,2016-07-18,The signs at Fuzhou airport are quite helpful since available in both English and Chinese The border security counter has a rating system where you can rate them based on your experience If you dont speak Chinese it may be slightly difficult to get around Queue was quite long and it took quite long to find your baggage However it was an OK experience The staff was very friendly and friendlier than I had expected,5.0,Neutral,Positive,Positive,POSITIVE,Positive,True
Durban,airport,F Koenig,2012-08-07,Landed H from CPT and out in mins as no baggage Long walk as aircraft parked far Very nice and clean airport Really like the wide choice of outdoor restaurants in the garden Pup and go vehicles move fast Police and security officials visible,9.0,Positive,Positive,Positive,Positive,Positive,True
