<<<<<<< HEAD
review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification
Aalborg,airport,3 reviewsThomas Rune Knudsen,2023-09-16,This airport is always a breeze Small and compact but with ok facilities considering the size Staff is almost always friendly and downtoearth Few if any lines Clean and good WiFi They might need security in the baggage reclaim as two toddlers got on the belt just as it started moving Seemed very dangerous and the parents were present but completely oblivious Never seen such bad parenting at an airport before The family was Danish Parking is no longer free but  DKK per day A very silly move,8.0,Neutral,Positive,Positive,Positive,Positive
Aalborg,airport,Roeland Heitz,2019-01-06,Worst and most chaotic airport transfer I have ever experienced In spite of low costs I will never fly with Aeroflot again Is this  or still the s,1.0,Neutral,Negative,Neutral,Neutral,Neutral
Aalborg,airport,Don Shaw,2018-06-07,The best airport in the world I have used it multiple times and there is never any significant waiting time at checkin or security The staff are always goodnatured and friendly Parking is free It is quiet Dutyfree items are cheaper than in eg Copenhagen And on top of all this you get free water and a newspaper while you wait for the plane The best by far,10.0,Positive,Positive,Positive,Positive,Positive
Aalborg,airport,4 reviewsAnnika Fredenstrand,2017-03-19,The baggage claim areas have obviously been merged to one since I last flew into Aalborg Airport with luggage When coming to the only baggage claim area in the airport in the end of the airport where only airlines like Norwegian used to deliver luggage there were no signs what so ever of our SK luggage arriving  and thus I stepped out of the baggage claim area  not able to reenter  and with a tiresome wait for some  minutes until the airport staff had located my luggage Better signs and maybe announcements  would do a big difference,8.0,Neutral,Positive,Neutral,Neutral,Neutral
Aalborg,airport,Klaus Malling,2014-02-11,A small very effective airport with few flights Checkin is notorious quick and staff friendly arrival very quick and busses to Aalborg frequent Usually no problems getting taxis as well There used to be a cafeteria but nowadays just a kiosk  but good cafeteria with reasonable prizes inside terminal Security check quick and friendly as well There is a nice viewing pavilion at one end of the airport Outside note the famous kiss and goodbye signs Restrooms outside terminal however few,9.0,Positive,Positive,Positive,Positive,Positive
Aalborg,airport,S Kroes,2013-02-13,This is a nice and modern airport at the moment they are expanding the airport so there is a lot of building going on but in the departure area you will not notice this very much The Airport has got free Wifi and a small restaurant with shop on the land side Airside you will find a small shop with prepacked sandwiches and hot dogs and other small stuff a small duty free shop is also around but not very cheap There is no Lounge to be found at the moment but after the expansion is completed there will be one available around May  Checkin procedures are fast and the waiting area after checkin is fine with a view on the tarmac All in all a nice modern but small airport with expensive restaurants and shop,9.0,Neutral,Positive,Neutral,Neutral,Neutral
Aalborg,airport,M Andersen,2012-08-07,A very nice airy terminal  that seems modern enough Free WIFI and free parking Everything within walking distance Most people travel domestic to Copenhagen but a rising number of international routes eg AALAMS makes for a lot of possibilities Checkin is very quick and so is Security All in all a nice experience,9.0,Positive,Positive,Neutral,Positive,Positive
Aalborg,airport,Paul Van Alsten,2011-05-22,AMSAAL and quite satisfied with this regional airport Only a few flights per day so baggage reclaim understandably very quick Bus line  connects with downtown Aalborg every  minutes weekdays but only hourly during the weekend  travel time is  mins and costs DKK Checkin efficient and hasslefree using selfservice kiosks Free Internet computers are available landside  a nice touch Security staff very friendly Boarding area is rather cramped with limited seating  do not go airside too early,5.0,Positive,Positive,Positive,Positive,Positive
Aalborg,airport,K Fischer,2010-08-04,Very quick checkin and security screening Nice and airy Free parking No need to show up at the airport very early as is the case in CPH Only drawback is that after security you will be standing and waiting for the gate to open There is is very little space here and no where to sit down,4.0,Positive,Positive,Neutral,Positive,Positive
Aalborg,airport,M Larsen,2009-03-26,Aalborg Lufthavn AAL is a smallish airport near the city of Aalborg There is not usually a lot of people leaving or arriving at any one time so there is hardly ever any time wasted standing in line for checkin or security checks  brilliant A very friendly and inviting atmosphere overall,5.0,Positive,Positive,Positive,Positive,Positive
Aarhus,airport,Don Shone,2017-03-03,This place is a dump Miserable place with very few facilities they rip you off with the car parking and rip you off with the food and drink coffee costs at least  kr Duty free is small with few items and is expensive Aalborg airport is  times better,1.0,Negative,Positive,Neutral,ManualCheck,ManualCheck
Aarhus,airport,Paul Hastie,2004-11-29,Nice small friendly airport Good transport links to the city by bus which meets flights and plenty of taxis A few shops and cafes and very clean facilities,0.0,Positive,Positive,Positive,Positive,Positive
