review_name,review_type,passenger_name,review_date,review_text,overall_sentiment,staff,facilities,cleanliness,transport,pricing,staff_sentiment,facilities_sentiment,cleanliness_sentiment,transport_sentiment,pricing_sentiment,efficiency,staff_checkin,facilities_wifi,airline_experience,efficiency_sentiment,staff_checkin_sentiment,facilities_wifi_sentiment,airline_experience_sentiment,comfort,customer_service,comfort_sentiment,customer_service_sentiment,staff_security,staff_security_sentiment
Shenzhen Baoan,airport,Andrew Chan,2015-09-01,Modern and clean airport The transit is really strange like you have to get into China and leave China again Came from Beijing to Singapore via Shenzhen Convenient airport lot of shops reasonable price airports many eateries Western Chinese Easy to find your way to the  gate Ground staff do not smile,positive,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.5,0.5,0.0,,,,,,,,,,,,,,
Binter Canarias,airline,J Lamire,2020-02-19,Tenerife Norte to Gran Canaria Excellent airline clean and new plane They offer a chocolate snack and a glass of water and a candy just before landing all this in a  minute flight There is even a wifi entertainment system on board The best airline I have used,positive,,2.0,1.0,,,,1.0,1.5,,,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,,,,,,
Air Bagan,airline,Rob Boyce,2009-12-16,Yangon to Lashio in November  ATR  plane Allocated seating and good snack served with excellent customer service Would fly with them again any time,positive,,2.0,,,,,3.0,,,,1.0,1.0,,1.0,0.0,1.5,,0.0,1.0,1.0,1.5,0.0,,
Porter Airlines,airline,Harry Aronowicz,2024-12-23,Pleasant and easy check in Perfectly organized boarding Clean and new aircraft Spacious seat distance however seat width not as wide as other carrier on this route Pleasant crew Very good food which however was served a bit late At arrival fast border control and bag arrived rather soon  however priority sticker did not give the bag priority delivery,positive,1.0,1.0,1.0,1.0,,1.0,1.0,0.5,0.0,,2.0,,,3.0,1.0,,,2.5,,,,,2.0,1.0
Bassaka Air,airline,1 reviewsB Reece,2017-10-18,Phnom Penh to Siem Reap The cabin crew on our flight were amazing They were smiling and managed to provide every passenger with a beverage on this very short  minute flight We will definitely be using Bassaka Air in the future due to the affordable prices cleanliness awesome flight attendants and speedy service,positive,1.0,1.0,1.0,,2.0,1.0,0.0,0.0,,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,,,,,,
Hangzhou,airport,Thorkild Lykke,2007-07-16,New airport opened around  and much better than the old airport at the military airbase Plenty of checkin counters and smooth handling in security check First class lounge good As most Chinese airports it is noisy from continuous announcements,positive,,1.0,,,,,0.5,,,,1.0,1.0,1.0,,0.0,0.0,0.5,,1.0,,0.0,,1.0,0.5
Titan Airways,airline,Michelle Algar,2022-06-19,Went on holiday in May flights where changed by TUI so we ended up flying with Titan Airways I must say they were fabulous beautiful planes and the staff were friendly and great with my little girl who is  years Would love to fly with them again,positive,1.0,,,,,0.5,,,,,,,,1.0,,,,0.0,,,,,,
Copenhagen,airport,Yu-Hsiu Chang,2023-10-28,It is easily accessible from the city center by metro within  minutes It is clean and modern Employees are friendly and helpful Signposts are clear Goods are bountiful,positive,1.0,,1.0,1.0,,0.0,,1.5,0.5,,,1.0,1.0,,,0.0,0.0,,,,,,,
Pau,airport,Philip Woolford,2005-12-11,What a fantastic little airport  after leaving Paris CDG behind and all its filth it was such a welcome sight to arrive in a clean modern organized airport What a shame that more airlines dont fly into Pau The staff in the airport were also extremely helpful and polite Much nicer airport than Toulouse which is not far away,positive,1.0,,1.0,,,0.5,,0.5,,,1.0,3.0,,,0.0,0.5,,,,,,,,
Tallin,airport,Kaspar Põldvee,2018-06-23,Tallinn is my favourite airport of all airports Ive been to Its so small lovely and there are never crowds flowing around There are about  gates The Business Lounge is quiet and comfy and theres always enough food Its main difference is the low ceiling compared to other airports There arent many restaurants or shops but the Tax Free Shop has almost everything needed for your flight Staff very friendly and WiFi works well,positive,1.0,6.0,,1.0,,0.5,0.5,,0.0,,1.0,,2.0,1.0,0.0,,0.5,0.5,2.0,,0.0,,,
