review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,label_agreement_level,predicted_classification
Abu Dhabi,airport,4 reviewsNash Degaonkar,2024-12-13,The Airport is pretty decent in a lot of aspects The duty free is vast the airport staff and security are ultra professional helped me guide through the terminal on where to find my gate However the WiFi experience could have been better because doing facetime calls was a problem considering whatsapp is not allowed Anyhow it is massive,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Albany,airport,Andrew Champagne,2012-05-16,I fly into and out of Albany a few times a year on business For my money its one of the most efficient airports in terms of securityTSA in the country They get you in out and on your way with very little hassle the way it should be The airport itself isnt huge and doesnt have some of the amenities of a larger hub but as a traveller Im looking for efficiency and thats what Albany Airport provides,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Alicante,airport,Vera McMullan,2022-08-05,I want to commend staff at Alicante airport on what was my first airport visit post covid Arriving and departing was prompt and hassle free When I accidentally broke a mug at the Starbucks counter the staff were just concerned about how I was feeling Also the girl at the EasyJet gate took my postcards which I had forgotten to post and promised to post them for me They all arrived eventually so thank you,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Barnaul,airport,David Pryer,2008-12-10,The terminal is Sovietstyle and a little big for just or flights a day to Moscow and the occasional charter Checkin was slow with initially only one desk open but the service was friendly and efficient when eventually obtained With a blizzard on the tarmac it was unsafe for the bus to drive out to the plane Stumbling across the whipped up snow and ice is not something for the fainthearted The early offer of an onboard drink was appreciated,3.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Beirut,airport,18 reviewsGyan Fernando,2020-01-25,A nice airport and frankly I am surprised at the bad reviews I arrived there at approx hrs Entry and checkin were very easy Security was straight forward and immigration was very easy Once on the airside a restaurant was open as were the dutyfree shops The only downside were the grumpy staff of the shops who obviously had not woken up yet Announcements were clear and boarding was orderly and we took off on time,9.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Belo Horizonte Confins,airport,A Hetier,2009-12-07,I concur with the comment below Confins is underused But there is a big plus Conexao Aeroporto buses that take you to the city centre are punctual and efficient Things have changed since and there should be more improvements in the future,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bohol-Panglao,airport,13 reviewsAndreas Becker,2022-05-28,Quiet new airport opened in Check in was efficient Distance to Alona Beach only a few minutes Therefore very comfortable for people staying at the beach There are only few food stalls available Overall a fast and efficient airport,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Cochin,airport,Vidya Iyer,2021-11-06,Very disappointed to see that you are busy aping the western culture and forget our own roots As an Indian I am very proud of my heritage and all my traditional food However Cochin airport is a far cry from that You will happily serve cappuccino coffee to please a foreigner while completely omitting to serve a traditional Indian masala tea or a nice bru coffee It is very sad what Cochin airport has come to,2.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Damascus,airport,J Delmonte,2011-05-01,I first arrived in Damascus in Feb Since then I have been back and forth almost times a year since then I am an Englishman who met and married a Syrian girl in The airport in my view was more relaxed in the old days whereby you could check in and walk back into the loungecafe for tea etc with your friends and family,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Dunedin,airport,Y Ren,2011-11-13,DUD is a small but efficient airport with everything you need Landed from Wellington bags out very quickly The airport is quite far from city centre mins cost nearly dollars by Taxi and dollars by super shuttle Departure is well organised checkin sufficient airline lounge is located upstairs security check right before you board,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Durban,airport,Rich Jenkins,2016-08-22,A generally good experience at Durban airport Arrival is quite simple and they seem to keep the touts out of the waiting area The checkin is well organized and immigration outbound proceeded quickly There are a number of shops and restaurants The food and the shopping are forgettable but not expensive Decent amount of seating at the gates Wifi works fine,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Florence,airport,40 reviewsS Berten,2025-02-16,A rather small airport serving Firenze I used the airport in the winter season so imagine it during the busy summer season Theres bus boarding only and max small gates It has a abundance of dutyfree shops and food beverages counters Prices are reasonable Staff is friendly and efficiently working,6.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Glasgow,airport,P Magee,2023-08-24,Return flights from Glasgow to Verona Check in was quick as was passing through security Facilities were alright bearing in mind our flight was at am Boarding was efficient Return again was stress free other than the automated passport gate refusing to let me through Baggage was already on the carousel when through security All in all a pretty good experience,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Gothenburg-landvetter,airport,6 reviewsThomas Lemoigne,2017-08-02,Landvetter airport is a rather small one well organized and neat Security checks have seldom long queuing and are generally fast Lots of toilets are available very clean with taps to fillin bottles with water So do not hesitate to pass security with an empty bottle Shopping options are limited as the airport is small but the choice is more than correct This airport seems well managed,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
