review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_classification
Small Planet Airlines,airline,Sally Mitchell,2017-07-21,Gatwick to Preveza return with Small Planet Airlines Our flights both ways could not have been any smoother and the experience was faultless I didnt try the food so unable to comment but all the staff were friendly and attentive Would use again,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sarajevo,airport,I Hodzic,2011-07-03,Not much to complain about nowadays there is bus service offered by Centrotrans bus company and GRAS as well from airport to down town Personnel at checkin counter need to be more friendly for example our flight to GOT via BUD was cancelled by Malev but we were issued tickets to fly with Austrian and people at checkin counter were making faces exhaling loudly while printing boarding passes for flight via VIE,4.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
London City,airport,Ashley Dickson,2019-11-15,Avoid at peak times security is a mess Gone are the days of the minute check in and smooth easy journey This used to be my go to airport due to the ease of transit Such a shame they have added so much flight capacity and not matched it with security,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Kinshasa,airport,Jeff Peires,2011-07-31,Getting into Kinshasa is quite OK getting out is something else The airlines dontcant have their own staff at the terminal all the flights Kenya South African Ethiopian are handled by the same slow and unfriendly personnel There is now an official exit tax of plus a couple of minor unofficial ones Airport is gloomy very little seating nothing to do except worry about what is going to happen next VIP exit lounge while hardly Heathrow is clean and bright and you get a free drink well worth the extra Even if you speak French dont even contemplate going to Kinshasa unless your hosthotel sends a protocol to meet you at the airport and escort you out Be sure to stock up with US bills for unofficial taxes they wont take less and they dont expect more On a more positive note it is irritating rather than frightening and once youre through the airport everybody is pleasant and everything is fine,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Cambodia Angkor Air,airline,M Ward,2019-12-14,Siem Reap to Da Nang I purchased a flight without baggage I purchased baggage separately for AU with great difficulty via the Cambodia Angkor Air website I received the receipt on Messenger The receipt could not be located at Siem Reap airport I was forced to then pay US to get my luggage on board I have emailed the airline with the receipt and transcript but there has been no response On board I had never seen a refreshment trolley pushed along the aisle with such speed allowing nobody the opportunity to obtain a drink,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Mihin Lanka,airline,C Carmody,2016-01-08,I usually fly budget so dont expect too much Had my first flight with Mihin Lanka from Chennai to Colombo Plane was not new but Im glad the flight was only hour as the seats felt like they had lost all their padding The flight went smoothly except the Stewards did not offer any option to purchase refreshments It may seem unnecessary on a short flight except by the time you have got to the airport and followed all procedures a few hours have ticked over and some refreshments would come in handy Probably what concerned me most was the fellow passenger pouring a hot drink from his flask to his wife How did that get through security There was someone on his mobile phone as we were landing The other fellow who grabbed his luggage and made his way to the front door before the plane had stopped,5.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Yangon,airport,1 reviewsMin Htet,2017-12-07,Yangon International Airport has Terminals and for International Flights and for Domestic Flights This is the review for Terminal Domestic This Terminal is a new build and many upgraded from the old terminal The airport is very clean and you can find the checkin counter very easily After checkin the nd floor is for departure and the rd floor is for lounges The departure hall is very large and can buy goods and many restaurants which already open early morning am The gates numbers are easily to find,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Puerto Vallarta,airport,P Breland,2022-12-10,This airport is passable if youre the passenger Have been through many times Problem is if you are waiting for someone to arrive No seats anywhere Pricy food choices super high taxi prices It is clean though,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Rovaniemi,airport,W De Lange,2025-01-04,This airport is clearly not equipped to take the number of pax departing after the winter break Check in was too crowded so we had to wait on another floor Conveyer belt at check in blocked by heavy usage Boarding never indicated on screens but was only announced via PA system Shambles Shame as we had such a great time in Finland,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Melbourne Avalon,airport,Tim Costello,2012-10-13,Living in Geelong this airport is great mins from my parents place and traffic is rarely a problem Check in is quick quicker with no bags check in online the night before stroll through security and a short walk onto the plane Only criticism is that the airport is small gates and only bar cafe and newsagents Hopefully with the new International terminal theyre cleared to build theyll upgrade the domestic terminal too,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
